date-012	5 years, 8 months, 3 weeks, 1 day | 2092 days	5 years, 8 months, 3 weeks, 1 day | 2092 days	difference 2019-01-01 2024-09-23	    2026-09-24 00:06:43.759 wall=1790230003759 [calc] date difference 2019-01-01 2024-09-23 -> 5 years, 8 months, 3 weeks, 1 day | 2092 days	Tuesday, January 1, 2019 / Monday, September 23, 2024
date-013	Thursday, February 29, 2024	Thursday, February 29, 2024	add 2024-01-31 years=0 months=1 days=0	    2026-09-24 00:07:32.807 wall=1790230052807 [calc] date add 2024-01-31 years=0 months=1 days=0 -> Thursday, February 29, 2024	Wednesday, January 31, 2024 / 0 years, 1 month, 0 days
date-014	Tuesday, February 28, 2023	Tuesday, February 28, 2023	add 2023-01-31 years=0 months=1 days=0	    2026-09-24 00:07:56.459 wall=1790230076459 [calc] date add 2023-01-31 years=0 months=1 days=0 -> Tuesday, February 28, 2023	Tuesday, January 31, 2023 / 0 years, 1 month, 0 days
date-015	Friday, February 28, 2025	Friday, February 28, 2025	add 2024-02-29 years=1 months=0 days=0	    2026-09-24 00:08:59.775 wall=1790230139775 [calc] date add 2024-02-29 years=1 months=0 days=0 -> Friday, February 28, 2025	Thursday, February 29, 2024 / 1 year, 0 months, 0 days
date-016	Wednesday, January 8, 2025	Wednesday, January 8, 2025	add 2024-12-25 years=0 months=0 days=14	    2026-09-24 00:09:46.188 wall=1790230186188 [calc] date add 2024-12-25 years=0 months=0 days=14 -> Wednesday, January 8, 2025	Wednesday, December 25, 2024 / 0 years, 0 months, 14 days
date-017	Saturday, March 1, 2025	Saturday, March 1, 2025	add 2024-01-31 years=1 months=1 days=1	    2026-09-24 00:10:32.995 wall=1790230232995 [calc] date add 2024-01-31 years=1 months=1 days=1 -> Saturday, March 1, 2025	Wednesday, January 31, 2024 / 1 year, 1 month, 1 day
date-018	Monday, January 1, 2024	Monday, January 1, 2024	add 2023-12-31 years=0 months=0 days=1	    2026-09-24 00:11:18.181 wall=1790230278181 [calc] date add 2023-12-31 years=0 months=0 days=1 -> Monday, January 1, 2024	Sunday, December 31, 2023 / 0 years, 0 months, 1 day
date-019	Thursday, February 29, 2024	Thursday, February 29, 2024	subtract 2024-03-31 years=0 months=1 days=0	    2026-09-24 00:12:05.595 wall=1790230325595 [calc] date subtract 2024-03-31 years=0 months=1 days=0 -> Thursday, February 29, 2024	Sunday, March 31, 2024 / 0 years, 1 month, 0 days
date-020	Monday, January 29, 2024	Monday, January 29, 2024	subtract 2024-03-10 years=0 months=1 days=10	    2026-09-24 00:12:51.451 wall=1790230371451 [calc] date subtract 2024-03-10 years=0 months=1 days=10 -> Monday, January 29, 2024	Sunday, March 10, 2024 / 0 years, 1 month, 10 days
date-021	Sunday, January 28, 2024	Sunday, January 28, 2024	subtract 2025-03-01 years=1 months=1 days=1	    2026-09-24 00:13:36.586 wall=1790230416586 [calc] date subtract 2025-03-01 years=1 months=1 days=1 -> Sunday, January 28, 2024	Saturday, March 1, 2025 / 1 year, 1 month, 1 day
date-022	Monday, December 18, 2023	Monday, December 18, 2023	subtract 2024-01-01 years=0 months=0 days=14	    2026-09-24 00:14:22.094 wall=1790230462094 [calc] date subtract 2024-01-01 years=0 months=0 days=14 -> Monday, December 18, 2023	Monday, January 1, 2024 / 0 years, 0 months, 14 days
