id	mode	setup	keys	expected	tess_utterance	tess_reply	source
# repeated = subtracts again
standard-024	standard		1 0 subtract 2 equals equals	6			src/CalcManager/CEngine/scicomm.cpp:486-554,884-923 (= repeats the last operation with the held operand)
# 2 x 3 = = multiplies by 3 again
standard-025	standard		2 multiply 3 equals equals	18			src/CalcManager/CEngine/scicomm.cpp:486-554,884-923 (= repeats the last operation with the held operand)
# 5 + = uses 5 as the second operand
standard-026	standard		5 add equals	10			src/CalcManager/CEngine/scicomm.cpp:351-359,509-514
# Standard 2 + 3 x 4 = = repeats x4
standard-027	standard		2 add 3 multiply 4 equals equals	80			src/CalcManager/CEngine/scicomm.cpp:486-554,884-923 (= repeats the last operation with the held operand)
# changing the operator: the last one wins
standard-028	standard		5 add multiply 3 equals	15			src/CalcManager/CEngine/scicomm.cpp:236-261
# digit grouping while typing
standard-029	standard		1 2 3 4 5 6 7	1,234,567			src/CalcManager/CEngine/scidisp.cpp:246-265,286-384 + src/CalcManager/CEngine/calc.cpp:20-21 ("," every 3)
# grouping with a fraction (integer part only)
standard-030	standard		1 2 3 4 decimal 5 6 7 8	1,234.5678			src/CalcManager/CEngine/scidisp.cpp:246-265,286-384 + src/CalcManager/CEngine/calc.cpp:20-21 ("," every 3)
# grouping of a negative number
standard-031	standard		1 2 3 4 5 6 7 negate	-1,234,567			src/CalcManager/CEngine/scidisp.cpp:246-265,286-384 + src/CalcManager/CEngine/calc.cpp:20-21 ("," every 3); src/CalcManager/CEngine/scicomm.cpp:699-730 + src/CalcManager/CEngine/CalcInput.cpp:28-57
# the first operator shrinks 1234.50 to 1,234.5
standard-032	standard		1 2 3 4 decimal 5 0 add	1,234.5			src/CalcManager/CEngine/scicomm.cpp:150-160; src/CalcManager/Ratpack/conv.cpp:1076-1264 (NumberToString, precision 16: src/CalcManager/CalculatorManager.h:24)
# 16-digit entry limit: the 17th digit is refused
standard-033	standard		1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7	1,234,567,890,123,456			src/CalcManager/CEngine/CalcInput.cpp:59-170 (digit limit = precision; leading zeros ignored)
# 16 fractional digits after 0.
standard-034	standard		0 decimal 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7	0.1234567890123456			src/CalcManager/CEngine/CalcInput.cpp:59-170 (digit limit = precision; leading zeros ignored)
# leading zeros are ignored
standard-035	standard		0 0 5	5			src/CalcManager/CEngine/CalcInput.cpp:59-170 (digit limit = precision; leading zeros ignored)
# a second decimal point is refused
standard-036	standard		1 decimal 2 decimal 3	1.23			src/CalcManager/CEngine/CalcInput.cpp:172-190
# 99999999 x 99999999 fits 16 digits
standard-037	standard		9 9 9 9 9 9 9 9 multiply 9 9 9 9 9 9 9 9 equals	9,999,999,800,000,001			src/CalcManager/Ratpack/conv.cpp:1076-1264 (NumberToString, precision 16: src/CalcManager/CalculatorManager.h:24); src/CalcManager/CEngine/scidisp.cpp:246-265,286-384 + src/CalcManager/CEngine/calc.cpp:20-21 ("," every 3)
# E11: integer part past 16 digits -> e-notation (1.e+16)
standard-038	standard		9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 add 1 equals	1.e+16			src/CalcManager/Ratpack/conv.cpp:1083-1087,1242-1261 (integer digits > precision -> d.ddde+N)
# E11: 18 integer digits -> 16 significant digits in e-notation
standard-039	standard		9 9 9 9 9 9 9 9 9 multiply 9 9 9 9 9 9 9 9 9 equals	9.99999998e+17			src/CalcManager/Ratpack/conv.cpp:1083-1087,1242-1261 (integer digits > precision -> d.ddde+N)
# e-notation keeps 16 significant digits, rounded
standard-040	standard		1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 multiply 1 0 0 0 equals	1.234567890123456e+18			src/CalcManager/Ratpack/conv.cpp:1083-1087,1242-1261 (integer digits > precision -> d.ddde+N)
# tiny difference snaps to 0 at 16 digits
standard-041	standard		1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 add 0 decimal 0 0 0 0 1 subtract 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 equals	0			src/CalcManager/Ratpack/rat.cpp:188-197,346-388 + src/CalcManager/Ratpack/support.cpp:175-176 (a-b smaller than max(|a|,|b|)*10^-P snaps to 0)
# backspace removes the last digit
standard-042	standard		1 2 3 backspace	12			src/CalcManager/CEngine/scicomm.cpp:472-484 + src/CalcManager/CEngine/CalcInput.cpp:211-252
# backspace to empty shows 0
standard-043	standard		1 2 3 backspace backspace backspace	0			src/CalcManager/CEngine/scicomm.cpp:472-484 + src/CalcManager/CEngine/CalcInput.cpp:211-252
# backspace keeps the typed decimal point
standard-044	standard		1 decimal 5 backspace	1.			src/CalcManager/CEngine/scicomm.cpp:472-484 + src/CalcManager/CEngine/CalcInput.cpp:211-252
# backspace over the decimal point
standard-045	standard		1 decimal backspace	1			src/CalcManager/CEngine/scicomm.cpp:472-484 + src/CalcManager/CEngine/CalcInput.cpp:211-252
# backspace after = does nothing
standard-046	standard		2 add 3 equals backspace	5			src/CalcManager/CEngine/scicomm.cpp:472-484 + src/CalcManager/CEngine/CalcInput.cpp:211-252
# CE clears only the entry
standard-047	standard		5 add 3 clear_entry 2 equals	7			src/CalcManager/CEngine/scicomm.cpp:434-470 (C clears all, CE only the entry)
# CE on a typed number shows 0
standard-048	standard		1 2 3 clear_entry	0			src/CalcManager/CEngine/scicomm.cpp:434-470 (C clears all, CE only the entry)
# C clears the pending operation
standard-049	standard		5 add 3 clear 2 equals	2			src/CalcManager/CEngine/scicomm.cpp:434-470 (C clears all, CE only the entry)
# negate while typing
standard-050	standard		5 negate	-5			src/CalcManager/CEngine/scicomm.cpp:699-730 + src/CalcManager/CEngine/CalcInput.cpp:28-57
# negate twice
standard-051	standard		5 negate negate	5			src/CalcManager/CEngine/scicomm.cpp:699-730 + src/CalcManager/CEngine/CalcInput.cpp:28-57
# negate a result
standard-052	standard		2 add 3 equals negate	-5			src/CalcManager/CEngine/scicomm.cpp:699-730 + src/CalcManager/CEngine/CalcInput.cpp:28-57
# negate of an empty entry stays 0
standard-053	standard		0 negate	0			src/CalcManager/CEngine/scicomm.cpp:699-730 + src/CalcManager/CEngine/CalcInput.cpp:28-57
# negative operand
standard-054	standard		5 negate add 3 equals	-2			src/CalcManager/CEngine/scicomm.cpp:699-730 + src/CalcManager/CEngine/CalcInput.cpp:28-57
# negate a decimal
standard-055	standard		1 decimal 5 negate	-1.5			src/CalcManager/CEngine/scicomm.cpp:699-730 + src/CalcManager/CEngine/CalcInput.cpp:28-57
# sqrt of a perfect square is exact
standard-056	standard		8 1 sqrt	9			src/CalcManager/CEngine/scifunc.cpp:205-207 + src/CalcManager/Ratpack/exp.cpp:305-412 (exact integer roots)
# sqrt 2 at 16 digits
standard-057	standard		2 sqrt	1.414213562373095			src/CalcManager/CEngine/scifunc.cpp:205-207 + src/CalcManager/Ratpack/exp.cpp:305-412 (exact integer roots); src/CalcManager/Ratpack/conv.cpp:1076-1264 (NumberToString, precision 16: src/CalcManager/CalculatorManager.h:24)
# E11: `√−1` (Standard) -> Invalid input
standard-058	standard		1 negate sqrt	Invalid input			src/CalcManager/Ratpack/exp.cpp:486-525 (negative base, even root) CALC_E_DOMAIN -> src/Calculator/Resources/en-US/CEngineStrings.resw:124-126
# x^2
standard-059	standard		1 2 square	144			src/CalcManager/CEngine/scifunc.cpp:201-203
# x^2 of a decimal
standard-060	standard		0 decimal 5 square	0.25			src/CalcManager/CEngine/scifunc.cpp:201-203
# 1/x
standard-061	standard		4 reciprocal	0.25			src/CalcManager/CEngine/scifunc.cpp:197-199
# 1/x of 3 at 16 digits
standard-062	standard		3 reciprocal	0.3333333333333333			src/CalcManager/CEngine/scifunc.cpp:197-199; src/CalcManager/Ratpack/conv.cpp:1076-1264 (NumberToString, precision 16: src/CalcManager/CalculatorManager.h:24)
# 1/x of 0
standard-063	standard		0 reciprocal	Cannot divide by zero			src/CalcManager/CEngine/scifunc.cpp:197-199 + src/CalcManager/Ratpack/rat.cpp:144-148 CALC_E_DIVIDEBYZERO -> src/Calculator/Resources/en-US/CEngineStrings.resw:416-418
# a function right after an operator uses the first operand: 9 + sqrt = 12
standard-064	standard		9 add sqrt equals	12			src/CalcManager/CEngine/scicomm.cpp:351-359
# E11: `1 ÷ 0` -> Cannot divide by zero
standard-065	standard		1 divide 0 equals	Cannot divide by zero			src/CalcManager/Ratpack/rat.cpp:144-148 CALC_E_DIVIDEBYZERO -> src/Calculator/Resources/en-US/CEngineStrings.resw:416-418
# E11: `0 ÷ 0` -> Result is undefined
standard-066	standard		0 divide 0 equals	Result is undefined			src/CalcManager/Ratpack/rat.cpp:152-159 CALC_E_INDEFINITE -> src/Calculator/Resources/en-US/CEngineStrings.resw:128-130
# keys after an error are ignored
standard-067	standard		1 divide 0 equals 5 add	Cannot divide by zero			src/CalcManager/CEngine/scicomm.cpp:131-147 (in error only C / CE act)
# C leaves the error state
standard-068	standard		1 divide 0 equals clear 5	5			src/CalcManager/CEngine/scicomm.cpp:131-147 (in error only C / CE act)
# CE acts as C in the error state
standard-069	standard		1 divide 0 equals clear_entry	0			src/CalcManager/CEngine/scicomm.cpp:131-147 (in error only C / CE act)
# Overflow in Standard: (10^15)^(2^10)
standard-070	standard		1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 square square square square square square square square square square	Overflow			src/CalcManager/CEngine/scidisp.cpp:23,117-120,148-151 (exponent over 4 digits) -> src/Calculator/Resources/en-US/CEngineStrings.resw:136-138
# MS / MR
standard-071	standard		mc 5 ms clear mr	5			src/CalcManager/CalculatorManager.cpp:326-445 + src/CalcManager/CEngine/scicomm.cpp:732-769 (memory slot 0 = newest)
# MS ends the entry: the next digit starts a new number
standard-072	standard		mc 5 ms 3	3			src/CalcManager/CalculatorManager.cpp:326-445 + src/CalcManager/CEngine/scicomm.cpp:732-769 (memory slot 0 = newest)
# M+ adds the display to slot 0
standard-073	standard		mc 5 ms 3 mplus mr	8			src/CalcManager/CalculatorManager.cpp:326-445 + src/CalcManager/CEngine/scicomm.cpp:732-769 (memory slot 0 = newest)
# M- subtracts the display from slot 0
standard-074	standard		mc 5 ms 3 mminus mr	2			src/CalcManager/CalculatorManager.cpp:326-445 + src/CalcManager/CEngine/scicomm.cpp:732-769 (memory slot 0 = newest)
# M+ on an empty memory stores first
standard-075	standard		mc 5 mplus mplus mr	10			src/CalcManager/CalculatorManager.cpp:371-394
# M- on an empty memory stores -x
standard-076	standard		mc 5 mminus mr	-5			src/CalcManager/CalculatorManager.cpp:409-432
# MS inserts at the front: MR recalls the newest
standard-077	standard		mc 5 ms 7 ms mr	7			src/CalcManager/CalculatorManager.cpp:326-345
# MR replaces the typed entry
standard-078	standard		mc 5 ms 3 mr	5			src/CalcManager/CalculatorManager.cpp:326-445 + src/CalcManager/CEngine/scicomm.cpp:732-769 (memory slot 0 = newest)
# MC ends the entry like MS (record off)
standard-079	standard		mc 5 ms 7 mc 3	3			src/CalcManager/CalculatorManager.cpp:440-445 + src/CalcManager/CEngine/scicomm.cpp:150-160
# memory recall into an operation
standard-080	standard		mc 2 add 3 equals ms clear mr multiply 2 equals	10			src/CalcManager/CalculatorManager.cpp:326-445 + src/CalcManager/CEngine/scicomm.cpp:732-769 (memory slot 0 = newest)
# ---- scientific ----
# E11: `2 + 3 × 4 =` -> 14 in Scientific (precedence)
scientific-001	scientific		2 add 3 multiply 4 equals	14			src/CalcManager/CalculatorManager.cpp:183; src/CalcManager/CEngine/scicomm.cpp:274-345 (precedence stack)
# precedence: the x waits, the display still shows 3
scientific-002	scientific		2 add 3 multiply	3			src/CalcManager/CalculatorManager.cpp:183; src/CalcManager/CEngine/scicomm.cpp:274-345 (precedence stack)
# 2 x 3 + 4
scientific-003	scientific		2 multiply 3 add 4 equals	10			src/CalcManager/CalculatorManager.cpp:183; src/CalcManager/CEngine/scicomm.cpp:274-345 (precedence stack)
# 2 + 3 x 4 - 5
scientific-004	scientific		2 add 3 multiply 4 subtract 5 equals	9			src/CalcManager/CalculatorManager.cpp:183; src/CalcManager/CEngine/scicomm.cpp:274-345 (precedence stack)
# x^y binds tighter than x: 1 + 2 x 3^2
scientific-005	scientific		1 add 2 multiply 3 pow 2 equals	19			src/CalcManager/CalculatorManager.cpp:183; src/CalcManager/CEngine/scicomm.cpp:274-345 (precedence stack); src/CalcManager/CEngine/scicomm.cpp:31-58 (NPrecedenceOfOp)
# Scientific 2 + 3 x 4 = = repeats the last resolved +12
scientific-006	scientific		2 add 3 multiply 4 equals equals	26			src/CalcManager/CEngine/scicomm.cpp:486-554,884-923 (= repeats the last operation with the held operand)
# parentheses
scientific-007	scientific		lparen 2 add 3 rparen multiply 4 equals	20			src/CalcManager/CEngine/scicomm.cpp:556-666 (+ implicit x: :576-581 before '(', :196-227 after ')')
# parentheses on the right
scientific-008	scientific		2 multiply lparen 3 add 4 rparen equals	14			src/CalcManager/CEngine/scicomm.cpp:556-666 (+ implicit x: :576-581 before '(', :196-227 after ')')
# = closes open parentheses
scientific-009	scientific		lparen 1 add 2 equals	3			src/CalcManager/CEngine/scicomm.cpp:556-666 (+ implicit x: :576-581 before '(', :196-227 after ')'); src/CalcManager/CEngine/scicomm.cpp:488-501 (= closes open parentheses)
# implicit x before (
scientific-010	scientific		2 lparen 3 add 4 rparen equals	14			src/CalcManager/CEngine/scicomm.cpp:556-666 (+ implicit x: :576-581 before '(', :196-227 after ')')
# implicit x after )
scientific-011	scientific		lparen 2 add 3 rparen 4 equals	20			src/CalcManager/CEngine/scicomm.cpp:556-666 (+ implicit x: :576-581 before '(', :196-227 after ')')
# 1 / 3 at 32 digits
scientific-012	scientific		1 divide 3 equals	0.33333333333333333333333333333333			src/CalcManager/CEngine/scioper.cpp:94-131 + src/CalcManager/Ratpack/rat.cpp:135-164; src/CalcManager/Ratpack/conv.cpp:1076-1264 (NumberToString, precision 32: src/CalcManager/CalculatorManager.h:25)
# 2 / 3 rounds the 32nd digit up
scientific-013	scientific		2 divide 3 equals	0.66666666666666666666666666666667			src/CalcManager/CEngine/scioper.cpp:94-131 + src/CalcManager/Ratpack/rat.cpp:135-164; src/CalcManager/Ratpack/conv.cpp:1076-1264 (NumberToString, precision 32: src/CalcManager/CalculatorManager.h:25)
# 0.1 + 0.2 = 0.3
scientific-014	scientific		0 decimal 1 add 0 decimal 2 equals	0.3			src/CalcManager/CEngine/scioper.cpp:82-92 + src/CalcManager/Ratpack/rat.cpp:188-233 (exact rational add/sub)
# 1 / 3000 -> e-notation at 32 digits
scientific-015	scientific		1 divide 3 0 0 0 equals	3.3333333333333333333333333333333e-4			src/CalcManager/Ratpack/conv.cpp:28,1119-1135 (more than 2 zeros after the point -> e-notation)
# 32-digit entry limit
scientific-016	scientific		1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3	12,345,678,901,234,567,890,123,456,789,012			src/CalcManager/CEngine/CalcInput.cpp:59-170 (digit limit = precision; leading zeros ignored)
# 20 typed digits are grouped
scientific-017	scientific		1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0	12,345,678,901,234,567,890			src/CalcManager/CEngine/scidisp.cpp:246-265,286-384 + src/CalcManager/CEngine/calc.cpp:20-21 ("," every 3)
# 32 nines + 1 -> 1.e+32
scientific-018	scientific		9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 add 1 equals	1.e+32			src/CalcManager/Ratpack/conv.cpp:1083-1087,1242-1261 (integer digits > precision -> d.ddde+N)
# 1e31 still fits 32 digits
scientific-019	scientific		1 exp 3 1 equals	10,000,000,000,000,000,000,000,000,000,000			src/CalcManager/Ratpack/conv.cpp:1083-1087,1242-1261 (integer digits > precision -> d.ddde+N); src/CalcManager/CEngine/scicomm.cpp:825-832 + src/CalcManager/CEngine/CalcInput.cpp:197-209,273-325
# E11: `200 !` (Scientific) -> 7.8865786736479050355236321393219e+374
scientific-020	scientific		2 0 0 factorial	7.8865786736479050355236321393219e+374			src/CalcManager/CEngine/scifunc.cpp:230-232 + src/CalcManager/Ratpack/fact.cpp:187-246; src/CalcManager/Ratpack/conv.cpp:1083-1087,1242-1261 (integer digits > precision -> d.ddde+N)
# 20!
scientific-021	scientific		2 0 factorial	2,432,902,008,176,640,000			src/CalcManager/CEngine/scifunc.cpp:230-232 + src/CalcManager/Ratpack/fact.cpp:187-246; src/CalcManager/CEngine/scidisp.cpp:246-265,286-384 + src/CalcManager/CEngine/calc.cpp:20-21 ("," every 3)
# 50! -> e-notation
scientific-022	scientific		5 0 factorial	3.0414093201713378043612608166065e+64			src/CalcManager/CEngine/scifunc.cpp:230-232 + src/CalcManager/Ratpack/fact.cpp:187-246; src/CalcManager/Ratpack/conv.cpp:1083-1087,1242-1261 (integer digits > precision -> d.ddde+N)
# 0! = 1
scientific-023	scientific		0 factorial	1			src/CalcManager/CEngine/scifunc.cpp:230-232 + src/CalcManager/Ratpack/fact.cpp:187-246
# (-1)! -> Invalid input
scientific-024	scientific		1 negate factorial	Invalid input			src/CalcManager/Ratpack/fact.cpp:207-212 CALC_E_DOMAIN -> src/Calculator/Resources/en-US/CEngineStrings.resw:124-126
# 3250! -> Overflow (the factorial limit is 3249)
scientific-025	scientific		3 2 5 0 factorial	Overflow			src/CalcManager/Ratpack/fact.cpp:193-198 + src/CalcManager/Ratpack/support.cpp:168-170 -> src/Calculator/Resources/en-US/CEngineStrings.resw:136-138
# E11: sin 30 in DEG -> 0.5
scientific-026	scientific	angle=deg	3 0 sin	0.5			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/trans.cpp:19-35,101-125,196-228,266-290 (DEG/GRAD scaled to pi, RAD as is)
# E11: sin 30 in RAD -> -0.9880…
scientific-027	scientific	angle=rad	3 0 sin	-0.98803162409286178998774890729446			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/trans.cpp:19-35,101-125,196-228,266-290 (DEG/GRAD scaled to pi, RAD as is)
# E11: sin 30 in GRAD -> 0.4540…
scientific-028	scientific	angle=grad	3 0 sin	0.45399049973954679156040836635787			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/trans.cpp:19-35,101-125,196-228,266-290 (DEG/GRAD scaled to pi, RAD as is)
# the angle key cycles DEG -> RAD
scientific-029	scientific	angle=deg	3 0 angle sin	-0.98803162409286178998774890729446			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/trans.cpp:19-35,101-125,196-228,266-290 (DEG/GRAD scaled to pi, RAD as is) + src/CalcManager/CEngine/scicomm.cpp:693-697
# cos 60 DEG
scientific-030	scientific	angle=deg	6 0 cos	0.5			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/trans.cpp:19-35,101-125,196-228,266-290 (DEG/GRAD scaled to pi, RAD as is)
# tan 45 DEG
scientific-031	scientific	angle=deg	4 5 tan	1			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/trans.cpp:19-35,101-125,196-228,266-290 (DEG/GRAD scaled to pi, RAD as is)
# sin 180 DEG snaps to 0
scientific-032	scientific	angle=deg	1 8 0 sin	0			src/CalcManager/Ratpack/trans.cpp:86-93 (|x| <= 10^-P -> 0)
# cos 90 DEG snaps to 0
scientific-033	scientific	angle=deg	9 0 cos	0			src/CalcManager/Ratpack/trans.cpp:181-188
# tan 90 DEG -> Invalid input
scientific-034	scientific	angle=deg	9 0 tan	Invalid input			src/CalcManager/Ratpack/trans.cpp:242-257 CALC_E_DOMAIN -> src/Calculator/Resources/en-US/CEngineStrings.resw:124-126
# sin of a negative angle
scientific-035	scientific	angle=deg	3 0 negate sin	-0.5			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/trans.cpp:19-35,101-125,196-228,266-290 (DEG/GRAD scaled to pi, RAD as is)
# sin 1 RAD
scientific-036	scientific	angle=rad	1 sin	0.8414709848078965066525023216303			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/trans.cpp:19-35,101-125,196-228,266-290 (DEG/GRAD scaled to pi, RAD as is)
# cos 100 GRAD snaps to 0
scientific-037	scientific	angle=grad	1 0 0 cos	0			src/CalcManager/Ratpack/trans.cpp:181-188
# sin of 1e100 -> Invalid input (too big for trig)
scientific-038	scientific	angle=deg	1 exp 1 0 0 sin	Invalid input			src/CalcManager/CEngine/scicomm.cpp:373-382,1128-1131 + src/CalcManager/CEngine/calc.cpp:106
# asin 0.5 DEG = 30
scientific-039	scientific	angle=deg	0 decimal 5 inv sin	30			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/itrans.cpp (asin/acos/atan, ascalerat)
# acos 1 DEG = 0
scientific-040	scientific	angle=deg	1 inv cos	0			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/itrans.cpp (asin/acos/atan, ascalerat)
# atan 1 DEG = 45
scientific-041	scientific	angle=deg	1 inv tan	45			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/itrans.cpp (asin/acos/atan, ascalerat)
# atan 1 RAD = pi/4
scientific-042	scientific	angle=rad	1 inv tan	0.78539816339744830961566084581988			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/itrans.cpp (asin/acos/atan, ascalerat)
# atan 1 GRAD = 50
scientific-043	scientific	angle=grad	1 inv tan	50			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/itrans.cpp (asin/acos/atan, ascalerat)
# acos 0.5 DEG = 60
scientific-044	scientific	angle=deg	0 decimal 5 inv cos	60			src/CalcManager/CEngine/scifunc.cpp:113-146 + src/CalcManager/Ratpack/itrans.cpp (asin/acos/atan, ascalerat)
# asin 2 -> Invalid input
scientific-045	scientific	angle=deg	2 inv sin	Invalid input			src/CalcManager/Ratpack/itrans.cpp:108-117 CALC_E_DOMAIN -> src/Calculator/Resources/en-US/CEngineStrings.resw:124-126
# sinh 1
scientific-046	scientific	angle=deg	1 hyp sin	1.1752011936438014568823818505956			src/CalcManager/CEngine/scifunc.cpp:120-153 + src/CalcManager/Ratpack/transh.cpp, src/CalcManager/Ratpack/itransh.cpp
# cosh 1
